,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
402,Cervical Cancer,Periods that are heavier,Vaginal bleeding after menopause,Vaginal bleeding between periods,Vaginal bleeding after sex,Vaginal discharge that is watery,Vaginal discharge that contains blood,Strong vaginal odor,Longer periods than normal,Pain during sex,Pelvic pain,0,0
403,Cervical Cancer,Vaginal bleeding between periods,Pain during sex,Strong vaginal odor,Periods that are heavier,Pelvic pain,Vaginal bleeding after menopause,Vaginal discharge that is watery,Longer periods than normal,Vaginal discharge that contains blood,Vaginal bleeding after sex,0,0
404,Cervical Cancer,Pain during sex,Vaginal bleeding between periods,Longer periods than normal,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pelvic pain,Vaginal bleeding after menopause,Vaginal bleeding after sex,Periods that are heavier,Strong vaginal odor,0,0
405,Cervical Cancer,Periods that are heavier,Vaginal discharge that is watery,Pelvic pain,Longer periods than normal,Vaginal bleeding after sex,Vaginal discharge that contains blood,Strong vaginal odor,Pain during sex,Vaginal bleeding between periods,Vaginal bleeding after menopause,0,0
406,Cervical Cancer,Vaginal bleeding after menopause,Periods that are heavier,Strong vaginal odor,Vaginal bleeding after sex,Longer periods than normal,Pelvic pain,Vaginal bleeding between periods,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pain during sex,0,0
407,Cervical Cancer,Vaginal discharge that contains blood,Vaginal bleeding between periods,Periods that are heavier,Vaginal bleeding after sex,Strong vaginal odor,Vaginal bleeding after menopause,Longer periods than normal,Vaginal discharge that is watery,Pelvic pain,Pain during sex,0,0
408,Cervical Cancer,Vaginal discharge that contains blood,Longer periods than normal,Vaginal bleeding after sex,Strong vaginal odor,Pain during sex,Vaginal bleeding after menopause,Vaginal bleeding between periods,Periods that are heavier,Pelvic pain,Vaginal discharge that is watery,0,0
409,Cervical Cancer,Longer periods than normal,Vaginal bleeding after menopause,Strong vaginal odor,Vaginal discharge that contains blood,Vaginal bleeding between periods,Vaginal discharge that is watery,Pelvic pain,Vaginal bleeding after sex,Periods that are heavier,Pain during sex,0,0
410,Cervical Cancer,Vaginal bleeding between periods,Pelvic pain,Vaginal discharge that contains blood,Periods that are heavier,Vaginal discharge that is watery,Longer periods than normal,Pain during sex,Vaginal bleeding after menopause,Vaginal bleeding after sex,Strong vaginal odor,0,0
411,Cervical Cancer,Pain during sex,Vaginal bleeding between periods,Vaginal discharge that is watery,Vaginal discharge that contains blood,Periods that are heavier,Strong vaginal odor,Longer periods than normal,Pelvic pain,Vaginal bleeding after menopause,Vaginal bleeding after sex,0,0
412,Cervical Cancer,Vaginal discharge that contains blood,Vaginal discharge that is watery,Periods that are heavier,Pelvic pain,Vaginal bleeding after menopause,Longer periods than normal,Pain during sex,Vaginal bleeding after sex,Vaginal bleeding between periods,Strong vaginal odor,0,0
413,Cervical Cancer,Vaginal bleeding between periods,Vaginal bleeding after sex,Vaginal discharge that is watery,Strong vaginal odor,Pain during sex,Vaginal discharge that contains blood,Longer periods than normal,Pelvic pain,Vaginal bleeding after menopause,Periods that are heavier,0,0
414,Cervical Cancer,Vaginal discharge that contains blood,Vaginal bleeding after sex,Vaginal discharge that is watery,Pain during sex,Vaginal bleeding after menopause,Periods that are heavier,Vaginal bleeding between periods,Pelvic pain,Strong vaginal odor,Longer periods than normal,0,0
415,Cervical Cancer,Strong vaginal odor,Pain during sex,Pelvic pain,Vaginal discharge that is watery,Longer periods than normal,Vaginal discharge that contains blood,Vaginal bleeding after sex,Vaginal bleeding between periods,Vaginal bleeding after menopause,Periods that are heavier,0,0
416,Cervical Cancer,Vaginal bleeding after sex,Periods that are heavier,Vaginal discharge that is watery,Vaginal bleeding after menopause,Pelvic pain,Longer periods than normal,Strong vaginal odor,Pain during sex,Vaginal bleeding between periods,Vaginal discharge that contains blood,0,0
417,Cervical Cancer,Pain during sex,Longer periods than normal,Pelvic pain,Periods that are heavier,Vaginal bleeding after sex,Strong vaginal odor,Vaginal bleeding after menopause,Vaginal discharge that is watery,Vaginal bleeding between periods,Vaginal discharge that contains blood,0,0
418,Cervical Cancer,Pelvic pain,Vaginal bleeding after sex,Vaginal bleeding after menopause,Pain during sex,Vaginal discharge that is watery,Periods that are heavier,Longer periods than normal,Vaginal bleeding between periods,Vaginal discharge that contains blood,Strong vaginal odor,0,0
419,Cervical Cancer,Periods that are heavier,Vaginal bleeding after menopause,Vaginal discharge that is watery,Strong vaginal odor,Vaginal bleeding between periods,Pelvic pain,Vaginal bleeding after sex,Longer periods than normal,Pain during sex,Vaginal discharge that contains blood,0,0
420,Cervical Cancer,Strong vaginal odor,Vaginal discharge that is watery,Longer periods than normal,Vaginal bleeding between periods,Pain during sex,Periods that are heavier,Pelvic pain,Vaginal discharge that contains blood,Vaginal bleeding after sex,Vaginal bleeding after menopause,0,0
421,Cervical Cancer,Vaginal bleeding between periods,Periods that are heavier,Vaginal discharge that contains blood,Strong vaginal odor,Longer periods than normal,Pain during sex,Vaginal bleeding after menopause,Vaginal bleeding after sex,Pelvic pain,Vaginal discharge that is watery,0,0
422,Cervical Cancer,Periods that are heavier,Pelvic pain,Longer periods than normal,Pain during sex,Vaginal discharge that contains blood,Strong vaginal odor,Vaginal bleeding after sex,Vaginal bleeding after menopause,Vaginal discharge that is watery,Vaginal bleeding between periods,0,0
423,Cervical Cancer,Pelvic pain,Vaginal bleeding after sex,Vaginal bleeding between periods,Vaginal bleeding after menopause,Longer periods than normal,Strong vaginal odor,Periods that are heavier,Vaginal discharge that is watery,Pain during sex,Vaginal discharge that contains blood,0,0
424,Cervical Cancer,Vaginal discharge that contains blood,Vaginal discharge that is watery,Vaginal bleeding after sex,Periods that are heavier,Pain during sex,Longer periods than normal,Vaginal bleeding after menopause,Pelvic pain,Vaginal bleeding between periods,Strong vaginal odor,0,0
425,Cervical Cancer,Pelvic pain,Longer periods than normal,Vaginal discharge that contains blood,Pain during sex,Strong vaginal odor,Vaginal bleeding after menopause,Vaginal discharge that is watery,Periods that are heavier,Vaginal bleeding after sex,Vaginal bleeding between periods,0,0
426,Cervical Cancer,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal discharge that is watery,Strong vaginal odor,Pain during sex,Vaginal bleeding between periods,Pelvic pain,Longer periods than normal,Periods that are heavier,Vaginal bleeding after sex,0,0
427,Cervical Cancer,Pelvic pain,Pain during sex,Vaginal discharge that contains blood,Vaginal bleeding after sex,Vaginal discharge that is watery,Longer periods than normal,Vaginal bleeding between periods,Vaginal bleeding after menopause,Periods that are heavier,Strong vaginal odor,0,0
428,Cervical Cancer,Strong vaginal odor,Longer periods than normal,Vaginal discharge that is watery,Pain during sex,Periods that are heavier,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal bleeding after sex,Pelvic pain,0,0
429,Cervical Cancer,Periods that are heavier,Longer periods than normal,Pain during sex,Vaginal bleeding between periods,Strong vaginal odor,Vaginal discharge that contains blood,Vaginal bleeding after sex,Vaginal discharge that is watery,Vaginal bleeding after menopause,Pelvic pain,0,0
430,Cervical Cancer,Periods that are heavier,Vaginal bleeding after sex,Vaginal bleeding after menopause,Pelvic pain,Vaginal bleeding between periods,Vaginal discharge that contains blood,Longer periods than normal,Pain during sex,Strong vaginal odor,Vaginal discharge that is watery,0,0
431,Cervical Cancer,Vaginal bleeding between periods,Vaginal bleeding after menopause,Periods that are heavier,Vaginal discharge that contains blood,Strong vaginal odor,Longer periods than normal,Vaginal discharge that is watery,Pelvic pain,Pain during sex,Vaginal bleeding after sex,0,0
432,Cervical Cancer,Vaginal discharge that contains blood,Vaginal discharge that is watery,Pain during sex,Longer periods than normal,Pelvic pain,Periods that are heavier,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal bleeding after sex,Strong vaginal odor,0,0
433,Cervical Cancer,Vaginal bleeding after menopause,Vaginal discharge that is watery,Pain during sex,Pelvic pain,Strong vaginal odor,Vaginal discharge that contains blood,Vaginal bleeding after sex,Periods that are heavier,Longer periods than normal,Vaginal bleeding between periods,0,0
434,Cervical Cancer,Pelvic pain,Vaginal bleeding after menopause,Longer periods than normal,Vaginal discharge that contains blood,Periods that are heavier,Vaginal bleeding after sex,Strong vaginal odor,Pain during sex,Vaginal bleeding between periods,Vaginal discharge that is watery,0,0
435,Cervical Cancer,Vaginal bleeding after menopause,Vaginal bleeding between periods,Strong vaginal odor,Longer periods than normal,Periods that are heavier,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pain during sex,Pelvic pain,Vaginal bleeding after sex,0,0
436,Cervical Cancer,Vaginal bleeding between periods,Vaginal bleeding after sex,Strong vaginal odor,Vaginal bleeding after menopause,Periods that are heavier,Vaginal discharge that contains blood,Pain during sex,Pelvic pain,Longer periods than normal,Vaginal discharge that is watery,0,0
437,Cervical Cancer,Vaginal discharge that is watery,Vaginal bleeding after sex,Pain during sex,Strong vaginal odor,Vaginal bleeding between periods,Pelvic pain,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Longer periods than normal,Periods that are heavier,0,0
438,Cervical Cancer,Longer periods than normal,Vaginal bleeding between periods,Strong vaginal odor,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pain during sex,Vaginal bleeding after menopause,Periods that are heavier,Vaginal bleeding after sex,Pelvic pain,0,0
439,Cervical Cancer,Vaginal discharge that is watery,Periods that are heavier,Pain during sex,Strong vaginal odor,Vaginal bleeding between periods,Vaginal bleeding after menopause,Longer periods than normal,Vaginal bleeding after sex,Pelvic pain,Vaginal discharge that contains blood,0,0
440,Cervical Cancer,Periods that are heavier,Vaginal bleeding after sex,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Longer periods than normal,Vaginal discharge that is watery,Vaginal bleeding between periods,Strong vaginal odor,Pain during sex,Pelvic pain,0,0
441,Cervical Cancer,Periods that are heavier,Vaginal bleeding between periods,Vaginal bleeding after menopause,Pain during sex,Vaginal discharge that contains blood,Longer periods than normal,Vaginal bleeding after sex,Vaginal discharge that is watery,Pelvic pain,Strong vaginal odor,0,0
442,Cervical Cancer,Vaginal bleeding after menopause,Vaginal bleeding after sex,Longer periods than normal,Vaginal discharge that contains blood,Pelvic pain,Pain during sex,Strong vaginal odor,Vaginal discharge that is watery,Periods that are heavier,Vaginal bleeding between periods,0,0
443,Cervical Cancer,Strong vaginal odor,Pelvic pain,Vaginal bleeding between periods,Longer periods than normal,Periods that are heavier,Vaginal bleeding after sex,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pain during sex,Vaginal bleeding after menopause,0,0
444,Cervical Cancer,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal bleeding between periods,Vaginal discharge that is watery,Periods that are heavier,Strong vaginal odor,Longer periods than normal,Pain during sex,Pelvic pain,Vaginal bleeding after sex,0,0
445,Cervical Cancer,Periods that are heavier,Strong vaginal odor,Vaginal discharge that is watery,Pelvic pain,Pain during sex,Vaginal bleeding after sex,Vaginal bleeding after menopause,Longer periods than normal,Vaginal discharge that contains blood,Vaginal bleeding between periods,0,0
446,Cervical Cancer,Strong vaginal odor,Periods that are heavier,Vaginal bleeding after menopause,Vaginal bleeding between periods,Vaginal bleeding after sex,Vaginal discharge that contains blood,Pelvic pain,Longer periods than normal,Pain during sex,Vaginal discharge that is watery,0,0
447,Cervical Cancer,Vaginal discharge that is watery,Vaginal bleeding after sex,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Longer periods than normal,Pain during sex,Periods that are heavier,Vaginal bleeding between periods,Pelvic pain,Strong vaginal odor,0,0
448,Cervical Cancer,Vaginal bleeding after sex,Longer periods than normal,Vaginal bleeding between periods,Vaginal discharge that contains blood,Pelvic pain,Vaginal bleeding after menopause,Strong vaginal odor,Periods that are heavier,Pain during sex,Vaginal discharge that is watery,0,0
449,Cervical Cancer,Pain during sex,Longer periods than normal,Vaginal discharge that is watery,Vaginal bleeding after sex,Strong vaginal odor,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Vaginal bleeding between periods,Pelvic pain,Periods that are heavier,0,0
450,Cervical Cancer,Vaginal discharge that contains blood,Pain during sex,Vaginal bleeding after sex,Periods that are heavier,Strong vaginal odor,Vaginal discharge that is watery,Pelvic pain,Vaginal bleeding between periods,Longer periods than normal,Vaginal bleeding after menopause,0,0
451,Cervical Cancer,Vaginal bleeding after sex,Pain during sex,Vaginal discharge that is watery,Periods that are heavier,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Vaginal bleeding between periods,Longer periods than normal,Pelvic pain,Strong vaginal odor,0,0
452,Cervical Cancer,Strong vaginal odor,Vaginal discharge that contains blood,Longer periods than normal,Periods that are heavier,Pelvic pain,Pain during sex,Vaginal bleeding after sex,Vaginal discharge that is watery,Vaginal bleeding after menopause,Vaginal bleeding between periods,0,0
453,Cervical Cancer,Vaginal discharge that is watery,Vaginal bleeding after sex,Strong vaginal odor,Pelvic pain,Periods that are heavier,Pain during sex,Vaginal discharge that contains blood,Vaginal bleeding between periods,Vaginal bleeding after menopause,Longer periods than normal,0,0
454,Cervical Cancer,Vaginal bleeding after menopause,Vaginal bleeding between periods,Strong vaginal odor,Vaginal discharge that contains blood,Longer periods than normal,Periods that are heavier,Pain during sex,Vaginal bleeding after sex,Vaginal discharge that is watery,Pelvic pain,0,0
455,Cervical Cancer,Longer periods than normal,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that is watery,Periods that are heavier,Strong vaginal odor,Pain during sex,Pelvic pain,Vaginal bleeding after sex,Vaginal discharge that contains blood,0,0
456,Cervical Cancer,Strong vaginal odor,Pelvic pain,Vaginal bleeding after menopause,Longer periods than normal,Pain during sex,Vaginal bleeding between periods,Periods that are heavier,Vaginal discharge that is watery,Vaginal discharge that contains blood,Vaginal bleeding after sex,0,0
457,Cervical Cancer,Periods that are heavier,Vaginal bleeding between periods,Pain during sex,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Strong vaginal odor,Vaginal discharge that is watery,Pelvic pain,Longer periods than normal,Vaginal bleeding after sex,0,0
458,Cervical Cancer,Longer periods than normal,Vaginal bleeding between periods,Pain during sex,Pelvic pain,Strong vaginal odor,Vaginal discharge that is watery,Periods that are heavier,Vaginal bleeding after menopause,Vaginal bleeding after sex,Vaginal discharge that contains blood,0,0
459,Cervical Cancer,Vaginal bleeding after menopause,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pelvic pain,Periods that are heavier,Longer periods than normal,Strong vaginal odor,Vaginal bleeding after sex,Pain during sex,Vaginal bleeding between periods,0,0
460,Cervical Cancer,Periods that are heavier,Pelvic pain,Vaginal discharge that is watery,Pain during sex,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal bleeding after sex,Longer periods than normal,Strong vaginal odor,0,0
461,Cervical Cancer,Vaginal discharge that contains blood,Pain during sex,Vaginal discharge that is watery,Vaginal bleeding between periods,Strong vaginal odor,Vaginal bleeding after menopause,Pelvic pain,Longer periods than normal,Periods that are heavier,Vaginal bleeding after sex,0,0
462,Cervical Cancer,Vaginal discharge that is watery,Periods that are heavier,Vaginal bleeding between periods,Vaginal bleeding after sex,Vaginal bleeding after menopause,Pain during sex,Vaginal discharge that contains blood,Longer periods than normal,Strong vaginal odor,Pelvic pain,0,0
463,Cervical Cancer,Vaginal discharge that contains blood,Strong vaginal odor,Pain during sex,Pelvic pain,Vaginal bleeding after sex,Vaginal discharge that is watery,Vaginal bleeding after menopause,Periods that are heavier,Vaginal bleeding between periods,Longer periods than normal,0,0
464,Cervical Cancer,Strong vaginal odor,Pelvic pain,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Periods that are heavier,Longer periods than normal,Pain during sex,Vaginal bleeding after sex,Vaginal discharge that is watery,0,0
465,Cervical Cancer,Periods that are heavier,Pelvic pain,Vaginal bleeding between periods,Vaginal bleeding after sex,Vaginal discharge that is watery,Strong vaginal odor,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Longer periods than normal,Pain during sex,0,0
466,Cervical Cancer,Vaginal bleeding after sex,Pelvic pain,Vaginal discharge that is watery,Vaginal discharge that contains blood,Longer periods than normal,Strong vaginal odor,Pain during sex,Vaginal bleeding after menopause,Vaginal bleeding between periods,Periods that are heavier,0,0
467,Cervical Cancer,Strong vaginal odor,Vaginal bleeding between periods,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pain during sex,Pelvic pain,Vaginal bleeding after sex,Periods that are heavier,Vaginal bleeding after menopause,Longer periods than normal,0,0
468,Cervical Cancer,Vaginal bleeding after menopause,Pain during sex,Vaginal discharge that contains blood,Vaginal bleeding after sex,Pelvic pain,Vaginal discharge that is watery,Periods that are heavier,Longer periods than normal,Vaginal bleeding between periods,Strong vaginal odor,0,0
469,Cervical Cancer,Longer periods than normal,Vaginal bleeding between periods,Pelvic pain,Vaginal bleeding after menopause,Vaginal bleeding after sex,Periods that are heavier,Vaginal discharge that contains blood,Pain during sex,Vaginal discharge that is watery,Strong vaginal odor,0,0
470,Cervical Cancer,Pain during sex,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal discharge that is watery,Longer periods than normal,Periods that are heavier,Vaginal bleeding between periods,Strong vaginal odor,Pelvic pain,Vaginal bleeding after sex,0,0
471,Cervical Cancer,Vaginal bleeding between periods,Vaginal bleeding after menopause,Longer periods than normal,Vaginal discharge that contains blood,Pelvic pain,Vaginal bleeding after sex,Strong vaginal odor,Periods that are heavier,Vaginal discharge that is watery,Pain during sex,0,0
472,Cervical Cancer,Vaginal bleeding after sex,Strong vaginal odor,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pelvic pain,Periods that are heavier,Pain during sex,Longer periods than normal,Vaginal bleeding after menopause,Vaginal bleeding between periods,0,0
473,Cervical Cancer,Vaginal bleeding after sex,Vaginal bleeding after menopause,Periods that are heavier,Longer periods than normal,Vaginal bleeding between periods,Pelvic pain,Vaginal discharge that is watery,Strong vaginal odor,Pain during sex,Vaginal discharge that contains blood,0,0
474,Cervical Cancer,Vaginal discharge that is watery,Pain during sex,Periods that are heavier,Pelvic pain,Longer periods than normal,Vaginal bleeding after menopause,Vaginal bleeding after sex,Vaginal discharge that contains blood,Strong vaginal odor,Vaginal bleeding between periods,0,0
475,Cervical Cancer,Vaginal discharge that is watery,Periods that are heavier,Vaginal bleeding between periods,Vaginal bleeding after sex,Pain during sex,Pelvic pain,Strong vaginal odor,Longer periods than normal,Vaginal bleeding after menopause,Vaginal discharge that contains blood,0,0
476,Cervical Cancer,Vaginal bleeding after sex,Vaginal discharge that contains blood,Periods that are heavier,Strong vaginal odor,Vaginal bleeding between periods,Longer periods than normal,Pain during sex,Vaginal bleeding after menopause,Pelvic pain,Vaginal discharge that is watery,0,0
477,Cervical Cancer,Vaginal bleeding after menopause,Vaginal bleeding between periods,Periods that are heavier,Pelvic pain,Longer periods than normal,Vaginal bleeding after sex,Strong vaginal odor,Pain during sex,Vaginal discharge that contains blood,Vaginal discharge that is watery,0,0
478,Cervical Cancer,Vaginal discharge that contains blood,Longer periods than normal,Vaginal bleeding after sex,Vaginal bleeding after menopause,Vaginal discharge that is watery,Pelvic pain,Periods that are heavier,Vaginal bleeding between periods,Pain during sex,Strong vaginal odor,0,0
479,Cervical Cancer,Vaginal bleeding between periods,Vaginal discharge that contains blood,Strong vaginal odor,Pain during sex,Pelvic pain,Vaginal bleeding after sex,Vaginal discharge that is watery,Periods that are heavier,Longer periods than normal,Vaginal bleeding after menopause,0,0
480,Cervical Cancer,Vaginal discharge that contains blood,Pain during sex,Vaginal bleeding between periods,Periods that are heavier,Vaginal bleeding after sex,Vaginal bleeding after menopause,Strong vaginal odor,Vaginal discharge that is watery,Longer periods than normal,Pelvic pain,0,0
481,Cervical Cancer,Pelvic pain,Vaginal bleeding after menopause,Vaginal bleeding between periods,Vaginal bleeding after sex,Longer periods than normal,Periods that are heavier,Vaginal discharge that is watery,Pain during sex,Strong vaginal odor,Vaginal discharge that contains blood,0,0
482,Cervical Cancer,Vaginal bleeding between periods,Strong vaginal odor,Pelvic pain,Pain during sex,Vaginal bleeding after menopause,Longer periods than normal,Vaginal bleeding after sex,Periods that are heavier,Vaginal discharge that contains blood,Vaginal discharge that is watery,0,0
483,Cervical Cancer,Pain during sex,Vaginal bleeding between periods,Longer periods than normal,Vaginal discharge that contains blood,Vaginal discharge that is watery,Pelvic pain,Strong vaginal odor,Vaginal bleeding after sex,Vaginal bleeding after menopause,Periods that are heavier,0,0
484,Cervical Cancer,Vaginal bleeding between periods,Longer periods than normal,Vaginal bleeding after menopause,Periods that are heavier,Strong vaginal odor,Pain during sex,Vaginal bleeding after sex,Vaginal discharge that is watery,Pelvic pain,Vaginal discharge that contains blood,0,0
485,Cervical Cancer,Periods that are heavier,Vaginal bleeding between periods,Vaginal discharge that is watery,Pelvic pain,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Vaginal bleeding after sex,Longer periods than normal,Pain during sex,Strong vaginal odor,0,0
486,Cervical Cancer,Periods that are heavier,Vaginal bleeding after menopause,Vaginal bleeding between periods,Longer periods than normal,Strong vaginal odor,Vaginal bleeding after sex,Vaginal discharge that contains blood,Pelvic pain,Vaginal discharge that is watery,Pain during sex,0,0
487,Cervical Cancer,Pelvic pain,Vaginal discharge that contains blood,Periods that are heavier,Vaginal bleeding after sex,Longer periods than normal,Vaginal bleeding between periods,Vaginal bleeding after menopause,Pain during sex,Strong vaginal odor,Vaginal discharge that is watery,0,0
488,Cervical Cancer,Longer periods than normal,Vaginal bleeding after menopause,Pain during sex,Vaginal bleeding after sex,Vaginal discharge that contains blood,Vaginal bleeding between periods,Vaginal discharge that is watery,Periods that are heavier,Strong vaginal odor,Pelvic pain,0,0
489,Cervical Cancer,Longer periods than normal,Pelvic pain,Vaginal bleeding between periods,Vaginal discharge that is watery,Pain during sex,Periods that are heavier,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Strong vaginal odor,Vaginal bleeding after sex,0,0
490,Cervical Cancer,Pelvic pain,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Strong vaginal odor,Pain during sex,Periods that are heavier,Vaginal bleeding after sex,Longer periods than normal,Vaginal discharge that is watery,0,0
491,Cervical Cancer,Pelvic pain,Vaginal bleeding after menopause,Periods that are heavier,Vaginal bleeding between periods,Vaginal discharge that contains blood,Vaginal bleeding after sex,Pain during sex,Strong vaginal odor,Longer periods than normal,Vaginal discharge that is watery,0,0
492,Cervical Cancer,Strong vaginal odor,Vaginal discharge that is watery,Pain during sex,Vaginal bleeding between periods,Vaginal discharge that contains blood,Longer periods than normal,Vaginal bleeding after sex,Pelvic pain,Periods that are heavier,Vaginal bleeding after menopause,0,0
493,Cervical Cancer,Pain during sex,Vaginal bleeding after menopause,Pelvic pain,Longer periods than normal,Vaginal discharge that contains blood,Strong vaginal odor,Periods that are heavier,Vaginal bleeding between periods,Vaginal discharge that is watery,Vaginal bleeding after sex,0,0
494,Cervical Cancer,Longer periods than normal,Vaginal bleeding after sex,Strong vaginal odor,Vaginal discharge that contains blood,Periods that are heavier,Vaginal bleeding between periods,Pelvic pain,Pain during sex,Vaginal bleeding after menopause,Vaginal discharge that is watery,0,0
495,Cervical Cancer,Pelvic pain,Vaginal bleeding after menopause,Vaginal bleeding after sex,Pain during sex,Periods that are heavier,Vaginal bleeding between periods,Longer periods than normal,Vaginal discharge that contains blood,Strong vaginal odor,Vaginal discharge that is watery,0,0
496,Cervical Cancer,Pain during sex,Periods that are heavier,Pelvic pain,Vaginal discharge that contains blood,Vaginal bleeding between periods,Longer periods than normal,Strong vaginal odor,Vaginal bleeding after menopause,Vaginal bleeding after sex,Vaginal discharge that is watery,0,0
497,Cervical Cancer,Vaginal bleeding after sex,Vaginal bleeding between periods,Periods that are heavier,Vaginal discharge that contains blood,Pain during sex,Vaginal bleeding after menopause,Pelvic pain,Longer periods than normal,Strong vaginal odor,Vaginal discharge that is watery,0,0
498,Cervical Cancer,Strong vaginal odor,Vaginal discharge that is watery,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Pelvic pain,Vaginal bleeding after sex,Pain during sex,Periods that are heavier,Longer periods than normal,0,0
499,Cervical Cancer,Pelvic pain,Periods that are heavier,Longer periods than normal,Strong vaginal odor,Vaginal bleeding after sex,Pain during sex,Vaginal discharge that is watery,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal bleeding between periods,0,0
500,Prostate Cancer,Loss of hunger,Weakness or numbness in the legs or feet,Frequent urination especially at night,Weak or interrupted flow of urine,Loss of weight,Feeling very tired,Painful or burning urination,Painful ejaculation,Difficulty starting or holding back urine,Blood in the semen,Blood in the urine,Difficulty achieving or maintaining an erection
501,Prostate Cancer,Feeling very tired,Blood in the semen,Painful ejaculation,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Loss of hunger,Loss of weight,Blood in the urine,Frequent urination especially at night,Difficulty achieving or maintaining an erection,Painful or burning urination
502,Prostate Cancer,Blood in the urine,Blood in the semen,Loss of hunger,Difficulty starting or holding back urine,Feeling very tired,Difficulty achieving or maintaining an erection,Weak or interrupted flow of urine,Frequent urination especially at night,Painful ejaculation,Painful or burning urination,Loss of weight,Weakness or numbness in the legs or feet
503,Prostate Cancer,Difficulty starting or holding back urine,Frequent urination especially at night,Blood in the urine,Feeling very tired,Loss of weight,Weakness or numbness in the legs or feet,Painful or burning urination,Loss of hunger,Painful ejaculation,Blood in the semen,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection
504,Prostate Cancer,Blood in the semen,Loss of weight,Weak or interrupted flow of urine,Blood in the urine,Loss of hunger,Painful or burning urination,Feeling very tired,Frequent urination especially at night,Weakness or numbness in the legs or feet,Painful ejaculation,Difficulty achieving or maintaining an erection,Difficulty starting or holding back urine
505,Prostate Cancer,Loss of hunger,Frequent urination especially at night,Difficulty achieving or maintaining an erection,Feeling very tired,Painful or burning urination,Difficulty starting or holding back urine,Loss of weight,Painful ejaculation,Weak or interrupted flow of urine,Blood in the urine,Weakness or numbness in the legs or feet,Blood in the semen
506,Prostate Cancer,Frequent urination especially at night,Loss of weight,Loss of hunger,Difficulty starting or holding back urine,Weakness or numbness in the legs or feet,Feeling very tired,Painful or burning urination,Difficulty achieving or maintaining an erection,Blood in the semen,Painful ejaculation,Blood in the urine,Weak or interrupted flow of urine
507,Prostate Cancer,Feeling very tired,Blood in the urine,Difficulty starting or holding back urine,Difficulty achieving or maintaining an erection,Painful ejaculation,Weakness or numbness in the legs or feet,Blood in the semen,Weak or interrupted flow of urine,Painful or burning urination,Loss of hunger,Frequent urination especially at night,Loss of weight
508,Prostate Cancer,Loss of weight,Weakness or numbness in the legs or feet,Feeling very tired,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Painful ejaculation,Painful or burning urination,Difficulty achieving or maintaining an erection,Loss of hunger,Blood in the urine,Blood in the semen,Frequent urination especially at night
509,Prostate Cancer,Difficulty achieving or maintaining an erection,Blood in the urine,Painful or burning urination,Loss of hunger,Weakness or numbness in the legs or feet,Painful ejaculation,Weak or interrupted flow of urine,Feeling very tired,Difficulty starting or holding back urine,Frequent urination especially at night,Blood in the semen,Loss of weight
510,Prostate Cancer,Painful or burning urination,Loss of weight,Painful ejaculation,Weakness or numbness in the legs or feet,Loss of hunger,Frequent urination especially at night,Difficulty starting or holding back urine,Blood in the urine,Blood in the semen,Feeling very tired,Difficulty achieving or maintaining an erection,Weak or interrupted flow of urine
