Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
Cervical Cancer,Vaginal discharge that contains blood,Vaginal discharge that is watery,Periods that are heavier,Pelvic pain,Vaginal bleeding after menopause,Longer periods than normal,Pain during sex,Vaginal bleeding after sex,Vaginal bleeding between periods,Strong vaginal odor,,
Cervical Cancer,Vaginal bleeding between periods,Vaginal bleeding after sex,Vaginal discharge that is watery,Strong vaginal odor,Pain during sex,Vaginal discharge that contains blood,Longer periods than normal,Pelvic pain,Vaginal bleeding after menopause,Periods that are heavier,,
Cervical Cancer,Vaginal discharge that contains blood,Vaginal bleeding after sex,Vaginal discharge that is watery,Pain during sex,Vaginal bleeding after menopause,Periods that are heavier,Vaginal bleeding between periods,Pelvic pain,Strong vaginal odor,Longer periods than normal,,
Cervical Cancer,Strong vaginal odor,Pain during sex,Pelvic pain,Vaginal discharge that is watery,Longer periods than normal,Vaginal discharge that contains blood,Vaginal bleeding after sex,Vaginal bleeding between periods,Vaginal bleeding after menopause,Periods that are heavier,,
Cervical Cancer,Vaginal bleeding after sex,Periods that are heavier,Vaginal discharge that is watery,Vaginal bleeding after menopause,Pelvic pain,Longer periods than normal,Strong vaginal odor,Pain during sex,Vaginal bleeding between periods,Vaginal discharge that contains blood,,
Cervical Cancer,Pain during sex,Longer periods than normal,Pelvic pain,Periods that are heavier,Vaginal bleeding after sex,Strong vaginal odor,Vaginal bleeding after menopause,Vaginal discharge that is watery,Vaginal bleeding between periods,Vaginal discharge that contains blood,,
Cervical Cancer,Pelvic pain,Vaginal bleeding after sex,Vaginal bleeding after menopause,Pain during sex,Vaginal discharge that is watery,Periods that are heavier,Longer periods than normal,Vaginal bleeding between periods,Vaginal discharge that contains blood,Strong vaginal odor,,
Cervical Cancer,Periods that are heavier,Vaginal bleeding after menopause,Vaginal discharge that is watery,Strong vaginal odor,Vaginal bleeding between periods,Pelvic pain,Vaginal bleeding after sex,Longer periods than normal,Pain during sex,Vaginal discharge that contains blood,,
Cervical Cancer,Strong vaginal odor,Vaginal discharge that is watery,Longer periods than normal,Vaginal bleeding between periods,Pain during sex,Periods that are heavier,Pelvic pain,Vaginal discharge that contains blood,Vaginal bleeding after sex,Vaginal bleeding after menopause,,
Cervical Cancer,Vaginal bleeding between periods,Periods that are heavier,Vaginal discharge that contains blood,Strong vaginal odor,Longer periods than normal,Pain during sex,Vaginal bleeding after menopause,Vaginal bleeding after sex,Pelvic pain,Vaginal discharge that is watery,,
Cervical Cancer,Periods that are heavier,Pelvic pain,Longer periods than normal,Pain during sex,Vaginal discharge that contains blood,Strong vaginal odor,Vaginal bleeding after sex,Vaginal bleeding after menopause,Vaginal discharge that is watery,Vaginal bleeding between periods,,
Cervical Cancer,Pelvic pain,Vaginal bleeding after sex,Vaginal bleeding between periods,Vaginal bleeding after menopause,Longer periods than normal,Strong vaginal odor,Periods that are heavier,Vaginal discharge that is watery,Pain during sex,Vaginal discharge that contains blood,,
Cervical Cancer,Vaginal discharge that contains blood,Vaginal discharge that is watery,Vaginal bleeding after sex,Periods that are heavier,Pain during sex,Longer periods than normal,Vaginal bleeding after menopause,Pelvic pain,Vaginal bleeding between periods,Strong vaginal odor,,
Cervical Cancer,Pelvic pain,Longer periods than normal,Vaginal discharge that contains blood,Pain during sex,Strong vaginal odor,Vaginal bleeding after menopause,Vaginal discharge that is watery,Periods that are heavier,Vaginal bleeding after sex,Vaginal bleeding between periods,,
Cervical Cancer,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal discharge that is watery,Strong vaginal odor,Pain during sex,Vaginal bleeding between periods,Pelvic pain,Longer periods than normal,Periods that are heavier,Vaginal bleeding after sex,,
Cervical Cancer,Pelvic pain,Pain during sex,Vaginal discharge that contains blood,Vaginal bleeding after sex,Vaginal discharge that is watery,Longer periods than normal,Vaginal bleeding between periods,Vaginal bleeding after menopause,Periods that are heavier,Strong vaginal odor,,
Cervical Cancer,Strong vaginal odor,Longer periods than normal,Vaginal discharge that is watery,Pain during sex,Periods that are heavier,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal bleeding after sex,Pelvic pain,,
Cervical Cancer,Periods that are heavier,Longer periods than normal,Pain during sex,Vaginal bleeding between periods,Strong vaginal odor,Vaginal discharge that contains blood,Vaginal bleeding after sex,Vaginal discharge that is watery,Vaginal bleeding after menopause,Pelvic pain,,
Cervical Cancer,Periods that are heavier,Vaginal bleeding after sex,Vaginal bleeding after menopause,Pelvic pain,Vaginal bleeding between periods,Vaginal discharge that contains blood,Longer periods than normal,Pain during sex,Strong vaginal odor,Vaginal discharge that is watery,,
Cervical Cancer,Vaginal bleeding between periods,Vaginal bleeding after menopause,Periods that are heavier,Vaginal discharge that contains blood,Strong vaginal odor,Longer periods than normal,Vaginal discharge that is watery,Pelvic pain,Pain during sex,Vaginal bleeding after sex,,
Cervical Cancer,Vaginal discharge that contains blood,Vaginal discharge that is watery,Pain during sex,Longer periods than normal,Pelvic pain,Periods that are heavier,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal bleeding after sex,Strong vaginal odor,,
Cervical Cancer,Vaginal bleeding after menopause,Vaginal discharge that is watery,Pain during sex,Pelvic pain,Strong vaginal odor,Vaginal discharge that contains blood,Vaginal bleeding after sex,Periods that are heavier,Longer periods than normal,Vaginal bleeding between periods,,
Cervical Cancer,Pelvic pain,Vaginal bleeding after menopause,Longer periods than normal,Vaginal discharge that contains blood,Periods that are heavier,Vaginal bleeding after sex,Strong vaginal odor,Pain during sex,Vaginal bleeding between periods,Vaginal discharge that is watery,,
Cervical Cancer,Vaginal bleeding after menopause,Vaginal bleeding between periods,Strong vaginal odor,Longer periods than normal,Periods that are heavier,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pain during sex,Pelvic pain,Vaginal bleeding after sex,,
Cervical Cancer,Vaginal bleeding between periods,Vaginal bleeding after sex,Strong vaginal odor,Vaginal bleeding after menopause,Periods that are heavier,Vaginal discharge that contains blood,Pain during sex,Pelvic pain,Longer periods than normal,Vaginal discharge that is watery,,
Cervical Cancer,Vaginal discharge that is watery,Vaginal bleeding after sex,Pain during sex,Strong vaginal odor,Vaginal bleeding between periods,Pelvic pain,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Longer periods than normal,Periods that are heavier,,
Cervical Cancer,Longer periods than normal,Vaginal bleeding between periods,Strong vaginal odor,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pain during sex,Vaginal bleeding after menopause,Periods that are heavier,Vaginal bleeding after sex,Pelvic pain,,
Cervical Cancer,Vaginal discharge that is watery,Periods that are heavier,Pain during sex,Strong vaginal odor,Vaginal bleeding between periods,Vaginal bleeding after menopause,Longer periods than normal,Vaginal bleeding after sex,Pelvic pain,Vaginal discharge that contains blood,,
Cervical Cancer,Periods that are heavier,Vaginal bleeding after sex,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Longer periods than normal,Vaginal discharge that is watery,Vaginal bleeding between periods,Strong vaginal odor,Pain during sex,Pelvic pain,,
Cervical Cancer,Periods that are heavier,Vaginal bleeding between periods,Vaginal bleeding after menopause,Pain during sex,Vaginal discharge that contains blood,Longer periods than normal,Vaginal bleeding after sex,Vaginal discharge that is watery,Pelvic pain,Strong vaginal odor,,
Cervical Cancer,Vaginal bleeding after menopause,Vaginal bleeding after sex,Longer periods than normal,Vaginal discharge that contains blood,Pelvic pain,Pain during sex,Strong vaginal odor,Vaginal discharge that is watery,Periods that are heavier,Vaginal bleeding between periods,,
Cervical Cancer,Strong vaginal odor,Pelvic pain,Vaginal bleeding between periods,Longer periods than normal,Periods that are heavier,Vaginal bleeding after sex,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pain during sex,Vaginal bleeding after menopause,,
Cervical Cancer,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal bleeding between periods,Vaginal discharge that is watery,Periods that are heavier,Strong vaginal odor,Longer periods than normal,Pain during sex,Pelvic pain,Vaginal bleeding after sex,,
Cervical Cancer,Periods that are heavier,Strong vaginal odor,Vaginal discharge that is watery,Pelvic pain,Pain during sex,Vaginal bleeding after sex,Vaginal bleeding after menopause,Longer periods than normal,Vaginal discharge that contains blood,Vaginal bleeding between periods,,
Cervical Cancer,Strong vaginal odor,Periods that are heavier,Vaginal bleeding after menopause,Vaginal bleeding between periods,Vaginal bleeding after sex,Vaginal discharge that contains blood,Pelvic pain,Longer periods than normal,Pain during sex,Vaginal discharge that is watery,,
Cervical Cancer,Vaginal discharge that is watery,Vaginal bleeding after sex,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Longer periods than normal,Pain during sex,Periods that are heavier,Vaginal bleeding between periods,Pelvic pain,Strong vaginal odor,,
Cervical Cancer,Vaginal bleeding after sex,Longer periods than normal,Vaginal bleeding between periods,Vaginal discharge that contains blood,Pelvic pain,Vaginal bleeding after menopause,Strong vaginal odor,Periods that are heavier,Pain during sex,Vaginal discharge that is watery,,
Cervical Cancer,Pain during sex,Longer periods than normal,Vaginal discharge that is watery,Vaginal bleeding after sex,Strong vaginal odor,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Vaginal bleeding between periods,Pelvic pain,Periods that are heavier,,
Cervical Cancer,Vaginal discharge that contains blood,Pain during sex,Vaginal bleeding after sex,Periods that are heavier,Strong vaginal odor,Vaginal discharge that is watery,Pelvic pain,Vaginal bleeding between periods,Longer periods than normal,Vaginal bleeding after menopause,,
Cervical Cancer,Vaginal bleeding after sex,Pain during sex,Vaginal discharge that is watery,Periods that are heavier,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Vaginal bleeding between periods,Longer periods than normal,Pelvic pain,Strong vaginal odor,,
Cervical Cancer,Strong vaginal odor,Vaginal discharge that contains blood,Longer periods than normal,Periods that are heavier,Pelvic pain,Pain during sex,Vaginal bleeding after sex,Vaginal discharge that is watery,Vaginal bleeding after menopause,Vaginal bleeding between periods,,
Cervical Cancer,Vaginal discharge that is watery,Vaginal bleeding after sex,Strong vaginal odor,Pelvic pain,Periods that are heavier,Pain during sex,Vaginal discharge that contains blood,Vaginal bleeding between periods,Vaginal bleeding after menopause,Longer periods than normal,,
Cervical Cancer,Vaginal bleeding after menopause,Vaginal bleeding between periods,Strong vaginal odor,Vaginal discharge that contains blood,Longer periods than normal,Periods that are heavier,Pain during sex,Vaginal bleeding after sex,Vaginal discharge that is watery,Pelvic pain,,
Cervical Cancer,Longer periods than normal,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that is watery,Periods that are heavier,Strong vaginal odor,Pain during sex,Pelvic pain,Vaginal bleeding after sex,Vaginal discharge that contains blood,,
Cervical Cancer,Strong vaginal odor,Pelvic pain,Vaginal bleeding after menopause,Longer periods than normal,Pain during sex,Vaginal bleeding between periods,Periods that are heavier,Vaginal discharge that is watery,Vaginal discharge that contains blood,Vaginal bleeding after sex,,
Cervical Cancer,Periods that are heavier,Vaginal bleeding between periods,Pain during sex,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Strong vaginal odor,Vaginal discharge that is watery,Pelvic pain,Longer periods than normal,Vaginal bleeding after sex,,
Cervical Cancer,Longer periods than normal,Vaginal bleeding between periods,Pain during sex,Pelvic pain,Strong vaginal odor,Vaginal discharge that is watery,Periods that are heavier,Vaginal bleeding after menopause,Vaginal bleeding after sex,Vaginal discharge that contains blood,,
Cervical Cancer,Vaginal bleeding after menopause,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pelvic pain,Periods that are heavier,Longer periods than normal,Strong vaginal odor,Vaginal bleeding after sex,Pain during sex,Vaginal bleeding between periods,,
Cervical Cancer,Periods that are heavier,Pelvic pain,Vaginal discharge that is watery,Pain during sex,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal bleeding after sex,Longer periods than normal,Strong vaginal odor,,
Cervical Cancer,Vaginal discharge that contains blood,Pain during sex,Vaginal discharge that is watery,Vaginal bleeding between periods,Strong vaginal odor,Vaginal bleeding after menopause,Pelvic pain,Longer periods than normal,Periods that are heavier,Vaginal bleeding after sex,,
Cervical Cancer,Vaginal discharge that is watery,Periods that are heavier,Vaginal bleeding between periods,Vaginal bleeding after sex,Vaginal bleeding after menopause,Pain during sex,Vaginal discharge that contains blood,Longer periods than normal,Strong vaginal odor,Pelvic pain,,
Cervical Cancer,Vaginal discharge that contains blood,Strong vaginal odor,Pain during sex,Pelvic pain,Vaginal bleeding after sex,Vaginal discharge that is watery,Vaginal bleeding after menopause,Periods that are heavier,Vaginal bleeding between periods,Longer periods than normal,,
Cervical Cancer,Strong vaginal odor,Pelvic pain,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Periods that are heavier,Longer periods than normal,Pain during sex,Vaginal bleeding after sex,Vaginal discharge that is watery,,
Cervical Cancer,Periods that are heavier,Pelvic pain,Vaginal bleeding between periods,Vaginal bleeding after sex,Vaginal discharge that is watery,Strong vaginal odor,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Longer periods than normal,Pain during sex,,
Cervical Cancer,Vaginal bleeding after sex,Pelvic pain,Vaginal discharge that is watery,Vaginal discharge that contains blood,Longer periods than normal,Strong vaginal odor,Pain during sex,Vaginal bleeding after menopause,Vaginal bleeding between periods,Periods that are heavier,,
Cervical Cancer,Strong vaginal odor,Vaginal bleeding between periods,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pain during sex,Pelvic pain,Vaginal bleeding after sex,Periods that are heavier,Vaginal bleeding after menopause,Longer periods than normal,,
Cervical Cancer,Vaginal bleeding after menopause,Pain during sex,Vaginal discharge that contains blood,Vaginal bleeding after sex,Pelvic pain,Vaginal discharge that is watery,Periods that are heavier,Longer periods than normal,Vaginal bleeding between periods,Strong vaginal odor,,
Cervical Cancer,Longer periods than normal,Vaginal bleeding between periods,Pelvic pain,Vaginal bleeding after menopause,Vaginal bleeding after sex,Periods that are heavier,Vaginal discharge that contains blood,Pain during sex,Vaginal discharge that is watery,Strong vaginal odor,,
Cervical Cancer,Pain during sex,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal discharge that is watery,Longer periods than normal,Periods that are heavier,Vaginal bleeding between periods,Strong vaginal odor,Pelvic pain,Vaginal bleeding after sex,,
Cervical Cancer,Vaginal bleeding between periods,Vaginal bleeding after menopause,Longer periods than normal,Vaginal discharge that contains blood,Pelvic pain,Vaginal bleeding after sex,Strong vaginal odor,Periods that are heavier,Vaginal discharge that is watery,Pain during sex,,
Cervical Cancer,Vaginal bleeding after sex,Strong vaginal odor,Vaginal discharge that is watery,Vaginal discharge that contains blood,Pelvic pain,Periods that are heavier,Pain during sex,Longer periods than normal,Vaginal bleeding after menopause,Vaginal bleeding between periods,,
Cervical Cancer,Vaginal bleeding after sex,Vaginal bleeding after menopause,Periods that are heavier,Longer periods than normal,Vaginal bleeding between periods,Pelvic pain,Vaginal discharge that is watery,Strong vaginal odor,Pain during sex,Vaginal discharge that contains blood,,
Cervical Cancer,Vaginal discharge that is watery,Pain during sex,Periods that are heavier,Pelvic pain,Longer periods than normal,Vaginal bleeding after menopause,Vaginal bleeding after sex,Vaginal discharge that contains blood,Strong vaginal odor,Vaginal bleeding between periods,,
Cervical Cancer,Vaginal discharge that is watery,Periods that are heavier,Vaginal bleeding between periods,Vaginal bleeding after sex,Pain during sex,Pelvic pain,Strong vaginal odor,Longer periods than normal,Vaginal bleeding after menopause,Vaginal discharge that contains blood,,
Cervical Cancer,Vaginal bleeding after sex,Vaginal discharge that contains blood,Periods that are heavier,Strong vaginal odor,Vaginal bleeding between periods,Longer periods than normal,Pain during sex,Vaginal bleeding after menopause,Pelvic pain,Vaginal discharge that is watery,,
Cervical Cancer,Vaginal bleeding after menopause,Vaginal bleeding between periods,Periods that are heavier,Pelvic pain,Longer periods than normal,Vaginal bleeding after sex,Strong vaginal odor,Pain during sex,Vaginal discharge that contains blood,Vaginal discharge that is watery,,
Cervical Cancer,Vaginal discharge that contains blood,Longer periods than normal,Vaginal bleeding after sex,Vaginal bleeding after menopause,Vaginal discharge that is watery,Pelvic pain,Periods that are heavier,Vaginal bleeding between periods,Pain during sex,Strong vaginal odor,,
Cervical Cancer,Vaginal bleeding between periods,Vaginal discharge that contains blood,Strong vaginal odor,Pain during sex,Pelvic pain,Vaginal bleeding after sex,Vaginal discharge that is watery,Periods that are heavier,Longer periods than normal,Vaginal bleeding after menopause,,
Cervical Cancer,Vaginal discharge that contains blood,Pain during sex,Vaginal bleeding between periods,Periods that are heavier,Vaginal bleeding after sex,Vaginal bleeding after menopause,Strong vaginal odor,Vaginal discharge that is watery,Longer periods than normal,Pelvic pain,,
Cervical Cancer,Pelvic pain,Vaginal bleeding after menopause,Vaginal bleeding between periods,Vaginal bleeding after sex,Longer periods than normal,Periods that are heavier,Vaginal discharge that is watery,Pain during sex,Strong vaginal odor,Vaginal discharge that contains blood,,
Cervical Cancer,Vaginal bleeding between periods,Strong vaginal odor,Pelvic pain,Pain during sex,Vaginal bleeding after menopause,Longer periods than normal,Vaginal bleeding after sex,Periods that are heavier,Vaginal discharge that contains blood,Vaginal discharge that is watery,,
Cervical Cancer,Pain during sex,Vaginal bleeding between periods,Longer periods than normal,Vaginal discharge that contains blood,Vaginal discharge that is watery,Pelvic pain,Strong vaginal odor,Vaginal bleeding after sex,Vaginal bleeding after menopause,Periods that are heavier,,
Cervical Cancer,Vaginal bleeding between periods,Longer periods than normal,Vaginal bleeding after menopause,Periods that are heavier,Strong vaginal odor,Pain during sex,Vaginal bleeding after sex,Vaginal discharge that is watery,Pelvic pain,Vaginal discharge that contains blood,,
Cervical Cancer,Periods that are heavier,Vaginal bleeding between periods,Vaginal discharge that is watery,Pelvic pain,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Vaginal bleeding after sex,Longer periods than normal,Pain during sex,Strong vaginal odor,,
Cervical Cancer,Periods that are heavier,Vaginal bleeding after menopause,Vaginal bleeding between periods,Longer periods than normal,Strong vaginal odor,Vaginal bleeding after sex,Vaginal discharge that contains blood,Pelvic pain,Vaginal discharge that is watery,Pain during sex,,
Cervical Cancer,Pelvic pain,Vaginal discharge that contains blood,Periods that are heavier,Vaginal bleeding after sex,Longer periods than normal,Vaginal bleeding between periods,Vaginal bleeding after menopause,Pain during sex,Strong vaginal odor,Vaginal discharge that is watery,,
Cervical Cancer,Longer periods than normal,Vaginal bleeding after menopause,Pain during sex,Vaginal bleeding after sex,Vaginal discharge that contains blood,Vaginal bleeding between periods,Vaginal discharge that is watery,Periods that are heavier,Strong vaginal odor,Pelvic pain,,
Cervical Cancer,Longer periods than normal,Pelvic pain,Vaginal bleeding between periods,Vaginal discharge that is watery,Pain during sex,Periods that are heavier,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Strong vaginal odor,Vaginal bleeding after sex,,
Cervical Cancer,Pelvic pain,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Strong vaginal odor,Pain during sex,Periods that are heavier,Vaginal bleeding after sex,Longer periods than normal,Vaginal discharge that is watery,,
Cervical Cancer,Pelvic pain,Vaginal bleeding after menopause,Periods that are heavier,Vaginal bleeding between periods,Vaginal discharge that contains blood,Vaginal bleeding after sex,Pain during sex,Strong vaginal odor,Longer periods than normal,Vaginal discharge that is watery,,
Cervical Cancer,Strong vaginal odor,Vaginal discharge that is watery,Pain during sex,Vaginal bleeding between periods,Vaginal discharge that contains blood,Longer periods than normal,Vaginal bleeding after sex,Pelvic pain,Periods that are heavier,Vaginal bleeding after menopause,,
Cervical Cancer,Pain during sex,Vaginal bleeding after menopause,Pelvic pain,Longer periods than normal,Vaginal discharge that contains blood,Strong vaginal odor,Periods that are heavier,Vaginal bleeding between periods,Vaginal discharge that is watery,Vaginal bleeding after sex,,
Cervical Cancer,Longer periods than normal,Vaginal bleeding after sex,Strong vaginal odor,Vaginal discharge that contains blood,Periods that are heavier,Vaginal bleeding between periods,Pelvic pain,Pain during sex,Vaginal bleeding after menopause,Vaginal discharge that is watery,,
Cervical Cancer,Pelvic pain,Vaginal bleeding after menopause,Vaginal bleeding after sex,Pain during sex,Periods that are heavier,Vaginal bleeding between periods,Longer periods than normal,Vaginal discharge that contains blood,Strong vaginal odor,Vaginal discharge that is watery,,
Cervical Cancer,Pain during sex,Periods that are heavier,Pelvic pain,Vaginal discharge that contains blood,Vaginal bleeding between periods,Longer periods than normal,Strong vaginal odor,Vaginal bleeding after menopause,Vaginal bleeding after sex,Vaginal discharge that is watery,,
Cervical Cancer,Vaginal bleeding after sex,Vaginal bleeding between periods,Periods that are heavier,Vaginal discharge that contains blood,Pain during sex,Vaginal bleeding after menopause,Pelvic pain,Longer periods than normal,Strong vaginal odor,Vaginal discharge that is watery,,
Cervical Cancer,Strong vaginal odor,Vaginal discharge that is watery,Vaginal bleeding between periods,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Pelvic pain,Vaginal bleeding after sex,Pain during sex,Periods that are heavier,Longer periods than normal,,
Cervical Cancer,Pelvic pain,Periods that are heavier,Longer periods than normal,Strong vaginal odor,Vaginal bleeding after sex,Pain during sex,Vaginal discharge that is watery,Vaginal bleeding after menopause,Vaginal discharge that contains blood,Vaginal bleeding between periods,,
Prostate Cancer,Loss of hunger,Weakness or numbness in the legs or feet,Frequent urination especially at night,Weak or interrupted flow of urine,Loss of weight,Feeling very tired,Painful or burning urination,Painful ejaculation,Difficulty starting or holding back urine,Blood in the semen,Blood in the urine,Difficulty achieving or maintaining an erection
Prostate Cancer,Feeling very tired,Blood in the semen,Painful ejaculation,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Loss of hunger,Loss of weight,Blood in the urine,Frequent urination especially at night,Difficulty achieving or maintaining an erection,Painful or burning urination
Prostate Cancer,Blood in the urine,Blood in the semen,Loss of hunger,Difficulty starting or holding back urine,Feeling very tired,Difficulty achieving or maintaining an erection,Weak or interrupted flow of urine,Frequent urination especially at night,Painful ejaculation,Painful or burning urination,Loss of weight,Weakness or numbness in the legs or feet
Prostate Cancer,Difficulty starting or holding back urine,Frequent urination especially at night,Blood in the urine,Feeling very tired,Loss of weight,Weakness or numbness in the legs or feet,Painful or burning urination,Loss of hunger,Painful ejaculation,Blood in the semen,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection
Prostate Cancer,Blood in the semen,Loss of weight,Weak or interrupted flow of urine,Blood in the urine,Loss of hunger,Painful or burning urination,Feeling very tired,Frequent urination especially at night,Weakness or numbness in the legs or feet,Painful ejaculation,Difficulty achieving or maintaining an erection,Difficulty starting or holding back urine
Prostate Cancer,Loss of hunger,Frequent urination especially at night,Difficulty achieving or maintaining an erection,Feeling very tired,Painful or burning urination,Difficulty starting or holding back urine,Loss of weight,Painful ejaculation,Weak or interrupted flow of urine,Blood in the urine,Weakness or numbness in the legs or feet,Blood in the semen
Prostate Cancer,Frequent urination especially at night,Loss of weight,Loss of hunger,Difficulty starting or holding back urine,Weakness or numbness in the legs or feet,Feeling very tired,Painful or burning urination,Difficulty achieving or maintaining an erection,Blood in the semen,Painful ejaculation,Blood in the urine,Weak or interrupted flow of urine
Prostate Cancer,Feeling very tired,Blood in the urine,Difficulty starting or holding back urine,Difficulty achieving or maintaining an erection,Painful ejaculation,Weakness or numbness in the legs or feet,Blood in the semen,Weak or interrupted flow of urine,Painful or burning urination,Loss of hunger,Frequent urination especially at night,Loss of weight
Prostate Cancer,Loss of weight,Weakness or numbness in the legs or feet,Feeling very tired,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Painful ejaculation,Painful or burning urination,Difficulty achieving or maintaining an erection,Loss of hunger,Blood in the urine,Blood in the semen,Frequent urination especially at night
Prostate Cancer,Difficulty achieving or maintaining an erection,Blood in the urine,Painful or burning urination,Loss of hunger,Weakness or numbness in the legs or feet,Painful ejaculation,Weak or interrupted flow of urine,Feeling very tired,Difficulty starting or holding back urine,Frequent urination especially at night,Blood in the semen,Loss of weight
Prostate Cancer,Painful or burning urination,Loss of weight,Painful ejaculation,Weakness or numbness in the legs or feet,Loss of hunger,Frequent urination especially at night,Difficulty starting or holding back urine,Blood in the urine,Blood in the semen,Feeling very tired,Difficulty achieving or maintaining an erection,Weak or interrupted flow of urine
Prostate Cancer,Loss of hunger,Blood in the urine,Painful ejaculation,Weak or interrupted flow of urine,Blood in the semen,Difficulty starting or holding back urine,Painful or burning urination,Loss of weight,Difficulty achieving or maintaining an erection,Weakness or numbness in the legs or feet,Frequent urination especially at night,Feeling very tired
Prostate Cancer,Loss of hunger,Blood in the urine,Loss of weight,Painful or burning urination,Painful ejaculation,Difficulty achieving or maintaining an erection,Blood in the semen,Frequent urination especially at night,Weakness or numbness in the legs or feet,Feeling very tired,Difficulty starting or holding back urine,Weak or interrupted flow of urine
Prostate Cancer,Loss of weight,Loss of hunger,Difficulty achieving or maintaining an erection,Feeling very tired,Blood in the urine,Painful ejaculation,Painful or burning urination,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Blood in the semen,Frequent urination especially at night,Weakness or numbness in the legs or feet
Prostate Cancer,Loss of hunger,Weak or interrupted flow of urine,Painful ejaculation,Difficulty achieving or maintaining an erection,Blood in the urine,Difficulty starting or holding back urine,Frequent urination especially at night,Weakness or numbness in the legs or feet,Feeling very tired,Painful or burning urination,Blood in the semen,Loss of weight
Prostate Cancer,Painful ejaculation,Feeling very tired,Weakness or numbness in the legs or feet,Blood in the semen,Loss of weight,Difficulty starting or holding back urine,Loss of hunger,Blood in the urine,Difficulty achieving or maintaining an erection,Frequent urination especially at night,Painful or burning urination,Weak or interrupted flow of urine
Prostate Cancer,Loss of hunger,Loss of weight,Difficulty achieving or maintaining an erection,Blood in the urine,Frequent urination especially at night,Painful ejaculation,Blood in the semen,Weak or interrupted flow of urine,Weakness or numbness in the legs or feet,Feeling very tired,Painful or burning urination,Difficulty starting or holding back urine
Prostate Cancer,Weakness or numbness in the legs or feet,Loss of weight,Loss of hunger,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection,Feeling very tired,Blood in the urine,Blood in the semen,Frequent urination especially at night,Painful ejaculation,Difficulty starting or holding back urine,Painful or burning urination
Prostate Cancer,Painful ejaculation,Blood in the semen,Loss of weight,Feeling very tired,Difficulty achieving or maintaining an erection,Painful or burning urination,Blood in the urine,Difficulty starting or holding back urine,Frequent urination especially at night,Weak or interrupted flow of urine,Loss of hunger,Weakness or numbness in the legs or feet
Prostate Cancer,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Blood in the urine,Difficulty achieving or maintaining an erection,Loss of hunger,Painful ejaculation,Feeling very tired,Frequent urination especially at night,Painful or burning urination,Weakness or numbness in the legs or feet,Loss of weight,Blood in the semen
Prostate Cancer,Feeling very tired,Painful ejaculation,Frequent urination especially at night,Painful or burning urination,Blood in the semen,Loss of weight,Difficulty starting or holding back urine,Loss of hunger,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection,Blood in the urine,Weak or interrupted flow of urine
Prostate Cancer,Frequent urination especially at night,Loss of hunger,Painful ejaculation,Painful or burning urination,Weak or interrupted flow of urine,Feeling very tired,Weakness or numbness in the legs or feet,Blood in the urine,Difficulty starting or holding back urine,Blood in the semen,Difficulty achieving or maintaining an erection,Loss of weight
Prostate Cancer,Difficulty achieving or maintaining an erection,Painful ejaculation,Loss of weight,Painful or burning urination,Weakness or numbness in the legs or feet,Feeling very tired,Weak or interrupted flow of urine,Blood in the semen,Difficulty starting or holding back urine,Frequent urination especially at night,Blood in the urine,Loss of hunger
